id,date,category,amount,vendor
1,6/13/2024,Utilities,$961.50,Simba Internet Ltd. (Internet Service Provider)
2,11/30/2023,Office supplies,$145.73,Faniki Cartridges & Toners
3,7/13/2023,Office supplies,$91.17,Lenana Office Solutions
4,3/3/2024,Travel,$490.92,Wilderness Wanderer Tours & Safaris
5,2/1/2024,Legal Fees,$394.88,Harambee Law Chambers
6,5/20/2024,Travel,$24.09,Wilderness Wanderer Tours & Safaris
7,10/11/2023,Office supplies,$48.67,Jambo Stationery Supplies Ltd
8,7/21/2023,Legal Fees,$16.30,Nyota Legal Consultants
9,2/28/2024,Legal Fees,$787.58,Nyota Legal Consultants
10,4/29/2024,Legal Fees,$446.57,Harambee Law Chambers
11,5/4/2024,Travel,$241.37,Safari Bookings Kenya
12,8/30/2023,Travel,$109.84,Wilderness Wanderer Tours & Safaris
13,1/17/2024,Utilities,$690.09,Maji Bora Water Company (Water)
14,6/30/2023,Utilities,$857.19,Maji Bora Water Company (Water)
15,5/1/2024,Utilities,$251.97,Simba Internet Ltd. (Internet Service Provider)
16,8/1/2023,Travel,$21.00,Fahari Corporate Travel
17,4/22/2024,Utilities,$343.50,Maji Bora Water Company (Water)
18,7/29/2023,Legal Fees,$390.91,Nyota Legal Consultants
19,11/6/2023,Office supplies,$478.79,Jambo Stationery Supplies Ltd
20,3/23/2024,Travel,$125.10,Safari Bookings Kenya
21,2/29/2024,Legal Fees,$560.80,Nyota Legal Consultants
22,11/10/2023,Office supplies,$664.75,Faniki Cartridges & Toners
23,7/16/2023,Office supplies,$481.21,Jambo Stationery Supplies Ltd
24,10/8/2023,Legal Fees,$289.86,Harambee Law Chambers
25,1/5/2024,Utilities,$178.09,Maji Bora Water Company (Water)
26,3/2/2024,Legal Fees,$7.34,Adler & Associates Advocates
27,6/24/2023,Travel,$529.45,Fahari Corporate Travel
28,2/25/2024,Utilities,$234.62,Kestrel Power (Electricity)
29,11/21/2023,Utilities,$989.10,Maji Bora Water Company (Water)
30,9/12/2023,Legal Fees,$913.70,Nyota Legal Consultants
31,1/2/2024,Utilities,$159.59,Maji Bora Water Company (Water)
32,6/8/2024,Office supplies,$90.93,Faniki Cartridges & Toners
33,11/25/2023,Travel,$369.31,Wilderness Wanderer Tours & Safaris
34,1/16/2024,Utilities,$679.22,Simba Internet Ltd. (Internet Service Provider)
35,8/5/2023,Office supplies,$189.52,Jambo Stationery Supplies Ltd
36,9/19/2023,Travel,$623.99,Wilderness Wanderer Tours & Safaris
37,8/1/2023,Utilities,$248.59,Simba Internet Ltd. (Internet Service Provider)
38,11/8/2023,Utilities,$146.11,Kestrel Power (Electricity)
39,2/20/2024,Legal Fees,$747.78,Adler & Associates Advocates
40,12/23/2023,Legal Fees,$10.09,Harambee Law Chambers
41,1/31/2024,Utilities,$534.04,Maji Bora Water Company (Water)
42,7/20/2023,Office supplies,$687.58,Jambo Stationery Supplies Ltd
43,1/18/2024,Legal Fees,$912.45,Harambee Law Chambers
44,6/21/2023,Travel,$126.93,Safari Bookings Kenya
45,12/18/2023,Travel,$596.41,Wilderness Wanderer Tours & Safaris
46,7/4/2023,Office supplies,$169.41,Faniki Cartridges & Toners
47,12/15/2023,Legal Fees,$660.51,Adler & Associates Advocates
48,12/4/2023,Travel,$860.01,Safari Bookings Kenya
49,6/19/2023,Office supplies,$982.69,Lenana Office Solutions
50,4/1/2024,Utilities,$242.08,Simba Internet Ltd. (Internet Service Provider)
51,4/12/2024,Legal Fees,$947.56,Harambee Law Chambers
52,6/20/2023,Utilities,$530.65,Simba Internet Ltd. (Internet Service Provider)
53,10/28/2023,Office supplies,$740.25,Lenana Office Solutions
54,4/9/2024,Legal Fees,$722.11,Adler & Associates Advocates
55,11/2/2023,Travel,$834.74,Safari Bookings Kenya
56,8/21/2023,Office supplies,$944.44,Jambo Stationery Supplies Ltd
57,12/30/2023,Travel,$520.81,Safari Bookings Kenya
58,9/30/2023,Travel,$931.48,Fahari Corporate Travel
59,9/23/2023,Legal Fees,$697.50,Harambee Law Chambers
60,6/5/2024,Utilities,$806.85,Kestrel Power (Electricity)
61,10/18/2023,Utilities,$299.86,Kestrel Power (Electricity)
62,4/30/2024,Office supplies,$926.98,Faniki Cartridges & Toners
63,6/16/2023,Office supplies,$770.02,Faniki Cartridges & Toners
64,12/17/2023,Utilities,$631.74,Maji Bora Water Company (Water)
65,9/24/2023,Utilities,$605.30,Maji Bora Water Company (Water)
66,5/29/2024,Office supplies,$703.04,Lenana Office Solutions
67,7/8/2023,Travel,$195.35,Fahari Corporate Travel
68,8/1/2023,Legal Fees,$217.96,Nyota Legal Consultants
69,11/10/2023,Legal Fees,$523.56,Harambee Law Chambers
70,10/11/2023,Utilities,$641.05,Maji Bora Water Company (Water)
71,1/2/2024,Legal Fees,$411.95,Harambee Law Chambers
72,3/25/2024,Utilities,$316.79,Kestrel Power (Electricity)
73,7/28/2023,Office supplies,$739.65,Faniki Cartridges & Toners
74,4/13/2024,Legal Fees,$721.74,Nyota Legal Consultants
75,6/20/2023,Utilities,$256.32,Maji Bora Water Company (Water)
76,7/23/2023,Legal Fees,$676.09,Adler & Associates Advocates
77,5/12/2024,Office supplies,$833.81,Lenana Office Solutions
78,1/2/2024,Travel,$260.59,Safari Bookings Kenya
79,9/11/2023,Legal Fees,$968.67,Harambee Law Chambers
80,6/22/2023,Office supplies,$667.94,Faniki Cartridges & Toners
81,8/26/2023,Travel,$508.52,Wilderness Wanderer Tours & Safaris
82,10/4/2023,Office supplies,$10.27,Lenana Office Solutions
83,10/3/2023,Legal Fees,$423.78,Adler & Associates Advocates
84,12/26/2023,Travel,$443.48,Fahari Corporate Travel
85,4/2/2024,Travel,$998.65,Safari Bookings Kenya
86,12/29/2023,Travel,$315.40,Safari Bookings Kenya
87,8/5/2023,Legal Fees,$154.21,Nyota Legal Consultants
88,4/4/2024,Travel,$667.62,Wilderness Wanderer Tours & Safaris
89,5/6/2024,Utilities,$968.77,Simba Internet Ltd. (Internet Service Provider)
90,10/5/2023,Legal Fees,$120.87,Adler & Associates Advocates
91,2/21/2024,Legal Fees,$520.73,Adler & Associates Advocates
92,6/24/2023,Legal Fees,$159.43,Adler & Associates Advocates
93,11/4/2023,Office supplies,$698.45,Faniki Cartridges & Toners
94,2/20/2024,Utilities,$938.83,Maji Bora Water Company (Water)
95,3/24/2024,Legal Fees,$5.25,Adler & Associates Advocates
96,10/24/2023,Travel,$211.81,Safari Bookings Kenya
97,10/30/2023,Office supplies,$6.71,Faniki Cartridges & Toners
98,7/19/2023,Legal Fees,$178.84,Nyota Legal Consultants
99,2/16/2024,Office supplies,$376.39,Faniki Cartridges & Toners
100,2/23/2024,Travel,$463.43,Safari Bookings Kenya
101,6/22/2023,Office supplies,$451.08,Lenana Office Solutions
102,6/28/2023,Legal Fees,$341.42,Harambee Law Chambers
103,11/8/2023,Office supplies,$616.58,Faniki Cartridges & Toners
104,6/11/2024,Office supplies,$36.59,Faniki Cartridges & Toners
105,9/23/2023,Travel,$942.11,Wilderness Wanderer Tours & Safaris
106,1/3/2024,Utilities,$723.21,Maji Bora Water Company (Water)
107,9/13/2023,Utilities,$376.77,Maji Bora Water Company (Water)
108,9/3/2023,Travel,$477.86,Fahari Corporate Travel
109,1/9/2024,Utilities,$192.81,Maji Bora Water Company (Water)
110,3/6/2024,Legal Fees,$117.97,Harambee Law Chambers
111,7/16/2023,Travel,$637.01,Fahari Corporate Travel
112,3/14/2024,Office supplies,$862.76,Jambo Stationery Supplies Ltd
113,1/26/2024,Utilities,$11.30,Simba Internet Ltd. (Internet Service Provider)
114,12/20/2023,Legal Fees,$134.09,Adler & Associates Advocates
115,9/29/2023,Office supplies,$545.81,Lenana Office Solutions
116,4/18/2024,Travel,$210.64,Wilderness Wanderer Tours & Safaris
117,1/1/2024,Utilities,$745.47,Kestrel Power (Electricity)
118,1/13/2024,Travel,$877.76,Safari Bookings Kenya
119,5/31/2024,Utilities,$676.41,Simba Internet Ltd. (Internet Service Provider)
120,10/31/2023,Travel,$592.65,Wilderness Wanderer Tours & Safaris
121,2/6/2024,Legal Fees,$377.87,Nyota Legal Consultants
122,9/10/2023,Legal Fees,$487.49,Nyota Legal Consultants
123,8/26/2023,Utilities,$436.16,Maji Bora Water Company (Water)
124,8/8/2023,Utilities,$756.34,Maji Bora Water Company (Water)
125,8/29/2023,Legal Fees,$345.49,Harambee Law Chambers
126,8/17/2023,Office supplies,$869.47,Faniki Cartridges & Toners
127,6/11/2024,Legal Fees,$352.16,Adler & Associates Advocates
128,9/19/2023,Travel,$12.71,Wilderness Wanderer Tours & Safaris
129,6/30/2023,Legal Fees,$606.22,Harambee Law Chambers
130,7/25/2023,Utilities,$905.75,Maji Bora Water Company (Water)
131,5/23/2024,Travel,$855.46,Fahari Corporate Travel
132,10/1/2023,Office supplies,$39.88,Lenana Office Solutions
133,6/24/2023,Utilities,$547.65,Simba Internet Ltd. (Internet Service Provider)
134,4/20/2024,Office supplies,$13.32,Lenana Office Solutions
135,11/17/2023,Utilities,$155.71,Kestrel Power (Electricity)
136,11/30/2023,Travel,$880.13,Fahari Corporate Travel
137,5/5/2024,Utilities,$932.32,Kestrel Power (Electricity)
138,2/1/2024,Utilities,$167.64,Simba Internet Ltd. (Internet Service Provider)
139,9/23/2023,Legal Fees,$40.79,Harambee Law Chambers
140,3/9/2024,Travel,$964.95,Wilderness Wanderer Tours & Safaris
141,8/19/2023,Travel,$61.95,Wilderness Wanderer Tours & Safaris
142,1/20/2024,Utilities,$603.87,Maji Bora Water Company (Water)
143,6/26/2023,Utilities,$771.37,Kestrel Power (Electricity)
144,1/9/2024,Office supplies,$621.49,Faniki Cartridges & Toners
145,3/25/2024,Legal Fees,$66.24,Adler & Associates Advocates
146,7/19/2023,Legal Fees,$916.46,Harambee Law Chambers
147,3/13/2024,Office supplies,$665.72,Faniki Cartridges & Toners
148,12/11/2023,Utilities,$342.47,Maji Bora Water Company (Water)
149,12/29/2023,Office supplies,$55.08,Lenana Office Solutions
150,8/23/2023,Utilities,$546.38,Kestrel Power (Electricity)
151,9/2/2023,Utilities,$281.12,Maji Bora Water Company (Water)
152,8/10/2023,Office supplies,$638.13,Jambo Stationery Supplies Ltd
153,2/12/2024,Legal Fees,$102.07,Harambee Law Chambers
154,4/23/2024,Office supplies,$887.79,Lenana Office Solutions
155,8/25/2023,Office supplies,$961.44,Jambo Stationery Supplies Ltd
156,2/27/2024,Office supplies,$51.49,Faniki Cartridges & Toners
157,1/9/2024,Travel,$493.75,Wilderness Wanderer Tours & Safaris
158,12/10/2023,Legal Fees,$61.46,Adler & Associates Advocates
159,3/6/2024,Office supplies,$701.88,Lenana Office Solutions
160,8/21/2023,Utilities,$16.77,Kestrel Power (Electricity)
161,4/15/2024,Legal Fees,$805.35,Harambee Law Chambers
162,2/7/2024,Travel,$537.17,Fahari Corporate Travel
163,9/16/2023,Office supplies,$618.26,Lenana Office Solutions
164,3/21/2024,Travel,$935.24,Safari Bookings Kenya
165,7/12/2023,Office supplies,$381.98,Lenana Office Solutions
166,4/23/2024,Utilities,$76.49,Maji Bora Water Company (Water)
167,11/4/2023,Legal Fees,$642.08,Harambee Law Chambers
168,8/14/2023,Utilities,$753.95,Simba Internet Ltd. (Internet Service Provider)
169,9/15/2023,Travel,$563.10,Safari Bookings Kenya
170,4/12/2024,Utilities,$909.58,Kestrel Power (Electricity)
171,4/24/2024,Travel,$997.39,Safari Bookings Kenya
172,11/29/2023,Office supplies,$197.00,Lenana Office Solutions
173,3/31/2024,Legal Fees,$500.46,Adler & Associates Advocates
174,9/29/2023,Travel,$430.75,Fahari Corporate Travel
175,2/11/2024,Legal Fees,$957.92,Adler & Associates Advocates
176,10/20/2023,Office supplies,$804.13,Lenana Office Solutions
177,9/22/2023,Utilities,$41.29,Maji Bora Water Company (Water)
178,4/30/2024,Utilities,$774.05,Simba Internet Ltd. (Internet Service Provider)
179,11/1/2023,Travel,$832.71,Wilderness Wanderer Tours & Safaris
180,1/7/2024,Utilities,$582.31,Simba Internet Ltd. (Internet Service Provider)
181,6/1/2024,Travel,$97.36,Safari Bookings Kenya
182,9/26/2023,Travel,$925.45,Wilderness Wanderer Tours & Safaris
183,4/19/2024,Travel,$289.16,Fahari Corporate Travel
184,5/31/2024,Utilities,$862.21,Kestrel Power (Electricity)
185,9/28/2023,Utilities,$731.81,Kestrel Power (Electricity)
186,4/13/2024,Utilities,$890.70,Maji Bora Water Company (Water)
187,10/6/2023,Utilities,$778.30,Simba Internet Ltd. (Internet Service Provider)
188,8/15/2023,Utilities,$788.25,Simba Internet Ltd. (Internet Service Provider)
189,5/10/2024,Office supplies,$651.36,Faniki Cartridges & Toners
190,9/4/2023,Travel,$145.84,Fahari Corporate Travel
191,8/5/2023,Utilities,$430.37,Maji Bora Water Company (Water)
192,4/28/2024,Office supplies,$904.51,Faniki Cartridges & Toners
193,3/24/2024,Utilities,$147.99,Kestrel Power (Electricity)
194,11/7/2023,Utilities,$384.53,Simba Internet Ltd. (Internet Service Provider)
195,10/28/2023,Legal Fees,$231.75,Harambee Law Chambers
196,6/28/2023,Office supplies,$480.20,Jambo Stationery Supplies Ltd
197,2/5/2024,Office supplies,$550.68,Lenana Office Solutions
198,1/26/2024,Utilities,$633.27,Simba Internet Ltd. (Internet Service Provider)
199,10/23/2023,Utilities,$354.83,Simba Internet Ltd. (Internet Service Provider)
200,8/6/2023,Office supplies,$310.73,Lenana Office Solutions
201,5/8/2024,Legal Fees,$870.05,Harambee Law Chambers
202,12/27/2023,Utilities,$735.26,Kestrel Power (Electricity)
203,5/18/2024,Office supplies,$224.33,Lenana Office Solutions
204,1/3/2024,Travel,$796.41,Wilderness Wanderer Tours & Safaris
205,10/5/2023,Travel,$34.54,Safari Bookings Kenya
206,5/25/2024,Utilities,$565.87,Simba Internet Ltd. (Internet Service Provider)
207,2/11/2024,Utilities,$789.30,Kestrel Power (Electricity)
208,2/29/2024,Office supplies,$472.05,Jambo Stationery Supplies Ltd
209,5/30/2024,Office supplies,$680.72,Jambo Stationery Supplies Ltd
210,7/27/2023,Legal Fees,$327.05,Adler & Associates Advocates
211,10/29/2023,Travel,$655.36,Wilderness Wanderer Tours & Safaris
212,8/18/2023,Office supplies,$614.09,Lenana Office Solutions
213,7/31/2023,Travel,$953.26,Fahari Corporate Travel
214,2/18/2024,Office supplies,$569.98,Lenana Office Solutions
215,5/25/2024,Office supplies,$434.06,Faniki Cartridges & Toners
216,5/6/2024,Office supplies,$520.95,Faniki Cartridges & Toners
217,7/25/2023,Travel,$84.66,Safari Bookings Kenya
218,1/5/2024,Office supplies,$611.46,Faniki Cartridges & Toners
219,8/9/2023,Office supplies,$696.90,Lenana Office Solutions
220,12/4/2023,Office supplies,$193.49,Jambo Stationery Supplies Ltd
221,3/10/2024,Travel,$107.22,Safari Bookings Kenya
222,1/30/2024,Travel,$881.76,Safari Bookings Kenya
223,5/26/2024,Travel,$16.75,Fahari Corporate Travel
224,6/22/2023,Utilities,$198.28,Maji Bora Water Company (Water)
225,1/18/2024,Travel,$1.79,Fahari Corporate Travel
226,11/12/2023,Utilities,$357.90,Maji Bora Water Company (Water)
227,5/12/2024,Legal Fees,$316.07,Harambee Law Chambers
228,8/3/2023,Legal Fees,$575.69,Harambee Law Chambers
229,2/29/2024,Travel,$622.44,Fahari Corporate Travel
230,7/7/2023,Travel,$278.16,Fahari Corporate Travel
231,12/1/2023,Office supplies,$100.86,Faniki Cartridges & Toners
232,3/21/2024,Travel,$268.16,Safari Bookings Kenya
233,2/19/2024,Legal Fees,$783.74,Harambee Law Chambers
234,8/16/2023,Legal Fees,$844.70,Nyota Legal Consultants
235,10/29/2023,Office supplies,$796.60,Faniki Cartridges & Toners
236,6/3/2024,Legal Fees,$600.81,Adler & Associates Advocates
237,7/17/2023,Travel,$550.03,Safari Bookings Kenya
238,1/24/2024,Utilities,$252.37,Kestrel Power (Electricity)
239,9/10/2023,Utilities,$918.69,Kestrel Power (Electricity)
240,7/16/2023,Legal Fees,$305.01,Harambee Law Chambers
241,9/18/2023,Office supplies,$777.33,Lenana Office Solutions
242,6/9/2024,Travel,$185.91,Wilderness Wanderer Tours & Safaris
243,2/17/2024,Travel,$719.20,Wilderness Wanderer Tours & Safaris
244,8/20/2023,Utilities,$81.39,Kestrel Power (Electricity)
245,7/19/2023,Travel,$810.94,Safari Bookings Kenya
246,4/30/2024,Utilities,$173.27,Maji Bora Water Company (Water)
247,10/3/2023,Utilities,$109.65,Simba Internet Ltd. (Internet Service Provider)
248,3/9/2024,Office supplies,$560.94,Jambo Stationery Supplies Ltd
249,11/25/2023,Travel,$462.42,Wilderness Wanderer Tours & Safaris
250,7/17/2023,Utilities,$654.82,Maji Bora Water Company (Water)
251,5/18/2024,Travel,$883.61,Wilderness Wanderer Tours & Safaris
252,8/30/2023,Utilities,$110.02,Kestrel Power (Electricity)
253,11/29/2023,Office supplies,$733.25,Faniki Cartridges & Toners
254,3/4/2024,Legal Fees,$444.72,Adler & Associates Advocates
255,3/28/2024,Legal Fees,$260.96,Nyota Legal Consultants
256,3/23/2024,Office supplies,$906.77,Faniki Cartridges & Toners
257,5/7/2024,Office supplies,$384.74,Lenana Office Solutions
258,8/21/2023,Utilities,$310.00,Maji Bora Water Company (Water)
259,2/26/2024,Office supplies,$708.34,Faniki Cartridges & Toners
260,3/22/2024,Travel,$765.26,Safari Bookings Kenya
261,1/12/2024,Travel,$942.82,Safari Bookings Kenya
262,10/2/2023,Legal Fees,$233.41,Adler & Associates Advocates
263,6/25/2023,Office supplies,$6.24,Lenana Office Solutions
264,11/15/2023,Travel,$642.25,Wilderness Wanderer Tours & Safaris
265,6/1/2024,Utilities,$545.74,Maji Bora Water Company (Water)
266,7/21/2023,Legal Fees,$981.07,Nyota Legal Consultants
267,3/29/2024,Utilities,$711.49,Simba Internet Ltd. (Internet Service Provider)
268,5/16/2024,Legal Fees,$302.74,Adler & Associates Advocates
269,1/5/2024,Travel,$808.64,Safari Bookings Kenya
270,11/11/2023,Legal Fees,$619.06,Adler & Associates Advocates
271,1/12/2024,Office supplies,$606.11,Jambo Stationery Supplies Ltd
272,4/24/2024,Office supplies,$104.20,Lenana Office Solutions
273,12/22/2023,Travel,$393.12,Fahari Corporate Travel
274,9/26/2023,Legal Fees,$335.50,Harambee Law Chambers
275,8/5/2023,Travel,$729.45,Fahari Corporate Travel
276,8/23/2023,Utilities,$404.62,Kestrel Power (Electricity)
277,3/17/2024,Legal Fees,$296.61,Harambee Law Chambers
278,2/5/2024,Legal Fees,$71.41,Nyota Legal Consultants
279,4/16/2024,Travel,$491.40,Fahari Corporate Travel
280,8/22/2023,Office supplies,$602.94,Faniki Cartridges & Toners
281,4/10/2024,Legal Fees,$246.55,Adler & Associates Advocates
282,11/8/2023,Office supplies,$639.34,Jambo Stationery Supplies Ltd
283,12/20/2023,Travel,$822.79,Fahari Corporate Travel
284,3/21/2024,Utilities,$491.88,Kestrel Power (Electricity)
285,10/11/2023,Office supplies,$413.31,Faniki Cartridges & Toners
286,6/5/2024,Office supplies,$814.45,Jambo Stationery Supplies Ltd
287,8/20/2023,Legal Fees,$769.17,Adler & Associates Advocates
288,10/28/2023,Utilities,$338.65,Maji Bora Water Company (Water)
289,5/16/2024,Office supplies,$360.74,Lenana Office Solutions
290,3/11/2024,Legal Fees,$788.84,Harambee Law Chambers
291,12/22/2023,Travel,$484.84,Wilderness Wanderer Tours & Safaris
292,1/22/2024,Legal Fees,$174.54,Harambee Law Chambers
293,8/21/2023,Utilities,$480.28,Kestrel Power (Electricity)
294,7/5/2023,Travel,$766.42,Fahari Corporate Travel
295,8/10/2023,Office supplies,$65.59,Jambo Stationery Supplies Ltd
296,5/28/2024,Legal Fees,$559.78,Adler & Associates Advocates
297,9/29/2023,Utilities,$913.59,Kestrel Power (Electricity)
298,9/28/2023,Utilities,$613.29,Simba Internet Ltd. (Internet Service Provider)
299,5/2/2024,Office supplies,$633.25,Faniki Cartridges & Toners
300,3/27/2024,Travel,$862.55,Safari Bookings Kenya
301,2/10/2024,Legal Fees,$486.67,Harambee Law Chambers
302,4/23/2024,Legal Fees,$737.86,Harambee Law Chambers
303,5/1/2024,Utilities,$311.58,Maji Bora Water Company (Water)
304,1/25/2024,Office supplies,$674.28,Faniki Cartridges & Toners
305,9/5/2023,Office supplies,$795.63,Jambo Stationery Supplies Ltd
306,9/4/2023,Travel,$788.59,Safari Bookings Kenya
307,12/12/2023,Legal Fees,$511.09,Nyota Legal Consultants
308,6/25/2023,Office supplies,$432.15,Jambo Stationery Supplies Ltd
309,10/10/2023,Travel,$271.64,Safari Bookings Kenya
310,11/4/2023,Legal Fees,$566.01,Harambee Law Chambers
311,4/29/2024,Office supplies,$88.12,Faniki Cartridges & Toners
312,9/23/2023,Office supplies,$106.12,Jambo Stationery Supplies Ltd
313,11/11/2023,Legal Fees,$272.84,Nyota Legal Consultants
314,5/12/2024,Travel,$833.16,Wilderness Wanderer Tours & Safaris
315,8/21/2023,Travel,$400.48,Wilderness Wanderer Tours & Safaris
316,5/2/2024,Office supplies,$224.61,Lenana Office Solutions
317,10/30/2023,Utilities,$625.60,Kestrel Power (Electricity)
318,5/9/2024,Legal Fees,$701.14,Adler & Associates Advocates
319,9/8/2023,Travel,$548.55,Safari Bookings Kenya
320,4/16/2024,Travel,$274.18,Fahari Corporate Travel
321,6/11/2024,Utilities,$170.62,Maji Bora Water Company (Water)
322,5/22/2024,Office supplies,$323.47,Lenana Office Solutions
323,5/20/2024,Travel,$683.33,Wilderness Wanderer Tours & Safaris
324,1/28/2024,Travel,$469.15,Safari Bookings Kenya
325,7/15/2023,Travel,$512.73,Wilderness Wanderer Tours & Safaris
326,1/14/2024,Office supplies,$753.35,Faniki Cartridges & Toners
327,4/21/2024,Travel,$161.40,Wilderness Wanderer Tours & Safaris
328,9/10/2023,Travel,$461.22,Fahari Corporate Travel
329,9/18/2023,Travel,$51.27,Fahari Corporate Travel
330,1/4/2024,Utilities,$654.79,Kestrel Power (Electricity)
331,12/11/2023,Travel,$88.52,Wilderness Wanderer Tours & Safaris
332,8/16/2023,Travel,$64.75,Wilderness Wanderer Tours & Safaris
333,2/28/2024,Legal Fees,$462.80,Nyota Legal Consultants
334,4/12/2024,Utilities,$719.96,Kestrel Power (Electricity)
335,9/16/2023,Utilities,$277.65,Kestrel Power (Electricity)
336,10/22/2023,Office supplies,$680.12,Lenana Office Solutions
337,3/28/2024,Travel,$278.38,Wilderness Wanderer Tours & Safaris
